post_uri;post_url;post_cid;text;createdAt_post;indexedAt_post;embed;likeCount;repostCount;replyCount;did;handle;displayName;followersCount;followsCount;postsCount;createdAt_profile;indexedAt_profile;viewer_muted;viewer_following;viewer_blockedBy;labels;collectedAt
at://did:plc:tsgl4eqo7stozcippmqt73dv/app.bsky.feed.post/3lrzoommp722o;https://bsky.app/profile/jjurasin.bsky.social/post/3lrzoommp722o;bafyreigialn6tfbnvwlz34hpdtb2fbkxeevtqnqgdudb3op4fz4bvc42me;nah...bluesky is dead;2025-06-20T09:05:17.091Z;2025-06-20T09:05:18.737Z;{};0;0;0;did:plc:tsgl4eqo7stozcippmqt73dv;jjurasin.bsky.social;;0;0;0;2024-11-25T17:19:17.247Z;;False;;False;[];2025-06-20T09:06:06.655741Z
at://did:plc:mlvddyp4ozyn63ixdrrhyhrx/app.bsky.feed.post/3lrzommlsqk2j;https://bsky.app/profile/petehs.bsky.social/post/3lrzommlsqk2j;bafyreibgg5wv3hzqqoxni3uefgvn7qa2k3sitq6id4opq63gy5ojrx5cxq;Time for a shower.. Laters Bluesky family x;2025-06-20T09:04:09.954Z;2025-06-20T09:04:11.338Z;{};0;0;0;did:plc:mlvddyp4ozyn63ixdrrhyhrx;petehs.bsky.social;Pete;0;0;0;2023-10-19T19:32:21.582Z;;False;;False;[];2025-06-20T09:06:06.655741Z
at://did:plc:3rcarpza4emy6n3fjgfqyjp2/app.bsky.feed.post/3lrzomdfvhu24;https://bsky.app/profile/isabel-sykes.bsky.social/post/3lrzomdfvhu24;bafyreihn2swxaqmlmdqzeyfb7l76mdurye6kmr32sheuqebrxdo6a3y4tm;Technecast are now on Bluesky! I was so pleased to be part of this latest episode welcoming Viveca back to talk about her PhD on the practice of indigo dyeing🌼  Give us a listen on Spotify for more podcast eps showcasing PGR work from across the arts and humanities!;2025-06-20T09:04:00.323Z;2025-06-20T09:04:00.536Z;"""record=Main(cid='bafyreiafg3jwyx73opjjcyk2jq4sc32uh5ctfqsjtyl6jacotfpns3ir5q', uri='at://did:plc:lm7yfptjyhbepuydzx5icgbs/app.bsky.feed.post/3lrzoh6zqbm24', py_type='com.atproto.repo.strongRef') py_type='app.bsky.embed.record'""";0;0;0;did:plc:3rcarpza4emy6n3fjgfqyjp2;isabel-sykes.bsky.social;Isabel Sykes;0;0;0;2024-11-15T08:31:58.440Z;;False;;False;[];2025-06-20T09:06:06.655741Z
at://did:plc:rgqjx56bai27dnzu75uyowq6/app.bsky.feed.post/3lrzokprpe222;https://bsky.app/profile/soapyellafan123.bsky.social/post/3lrzokprpe222;bafyreifbp4wyjvewzjgyhhixzhi6fvjggi5kbrgdulyrsuzsftenfjmunq;Hello Bluesky  Reminder  #FreeCongo #FreeKakuma #FreeSudan #FreePalestine #FreeIran #FreeOppressedPeople #StopTheWar;2025-06-20T09:03:06.184Z;2025-06-20T09:03:06.939Z;{};0;0;0;did:plc:rgqjx56bai27dnzu75uyowq6;soapyellafan123.bsky.social;Artie/아티 🏳️‍🌈💗💛💙🇰🇷🍉;0;0;0;2024-10-17T06:09:35.713Z;;False;;False;[];2025-06-20T09:06:06.655741Z
at://did:plc:euwz5tufxvuhqjp64iyqnflt/app.bsky.feed.post/3lrzokmuvms2w;https://bsky.app/profile/nimzuk.bsky.social/post/3lrzokmuvms2w;bafyreifcg6nywxbiyhhcnrwm277yoyxybyplwfhyeq26dt2ajzxc2ft54e;The bridge looks beautiful.  I had to do some blocking. I guess the bullies didn’t know what to do with themselves when we all left FB and Twitter (or X). They need to bully, so they are coming to Bluesky just for that purpose.;2025-06-20T09:03:03.144Z;2025-06-20T09:03:03.540Z;{};0;0;0;did:plc:euwz5tufxvuhqjp64iyqnflt;nimzuk.bsky.social;;0;0;0;2024-11-12T15:41:31.808Z;;False;;False;[];2025-06-20T09:06:06.655741Z
at://did:plc:2tirhnp6gwknaerep4oxo5dm/app.bsky.feed.post/3lrzojiiwkk23;https://bsky.app/profile/brisskitty.bsky.social/post/3lrzojiiwkk23;bafyreihbahhcqza6iyy2tdjvapqzfgawfs4yfedhzn4a4wgdisy3phpite;I truly appreciate that even with Ellie's rising bluesky fame she does not shy away from putting women with giant cocks on their timelines;2025-06-20T09:02:25.002Z;2025-06-20T09:02:26.636Z;{};2;0;2;did:plc:2tirhnp6gwknaerep4oxo5dm;brisskitty.bsky.social;Bridget! | #ENVtuber;0;0;0;2023-07-24T01:41:10.802Z;;False;;False;[];2025-06-20T09:06:06.655741Z
at://did:plc:n3j5ktjls2egisq3cqe66ikj/app.bsky.feed.post/3lrzoitnj5227;https://bsky.app/profile/wizardflowers.bsky.social/post/3lrzoitnj5227;bafyreiae2tkumd7mg5m4cnj4dwuanvi6gucwdxvep7jliwswh4ggcei3cu;A little gift for Dan, really nice creator I follow! His YT is @Dan_Does if you wanna go watch him make awesome weird little guys!  #dandoes #dandoescraft #dan_does Covering all possible tags in case he ever makes a BlueSky haha;2025-06-20T09:02:03.125Z;2025-06-20T09:02:05.943Z;"""images=[Image(alt='', image=BlobRef(mime_type='image/jpeg', size=822471, ref=IpldLink(link='bafkreicw5itad7bkxsg6ze2jemaf755jueb6ectacr6ei6appsky7om2yq'), py_type='blob'), aspect_ratio=AspectRatio(height=1532, width=1545, py_type='app.bsky.embed.defs#aspectRatio'), py_type='app.bsky.embed.images#image')] py_type='app.bsky.embed.images'""";0;0;0;did:plc:n3j5ktjls2egisq3cqe66ikj;wizardflowers.bsky.social;🌸Flowers🌸✨Commissions Open!✨;0;0;0;2023-09-24T10:47:45.871Z;;False;;False;[];2025-06-20T09:06:06.655741Z
at://did:plc:urdcge2rxmre2vmugj3nb7hv/app.bsky.feed.post/3lrzois4xgc2w;https://bsky.app/profile/annichu2.bsky.social/post/3lrzois4xgc2w;bafyreieantw6kskpcjucdzhb2ohhdolkfqf4axoq7xotw65qwpdie56jpa;Happy Midsummer Eve!  Sharing a beautiful drawing that I won from an art raffle, so big thanks to @julinhei.bsky.social !   Júlia's artstyle is majestic and the colors I just want to eat up aaaaah! Higly give her a follow and much support 💜  🎨: @julinhei.bsky.social   ❀ #anniart ❀ #art ❀ #drawing ❀;2025-06-20T09:02:01.483Z;2025-06-20T09:02:11.336Z;"""images=[Image(alt='Half illustration of my avatar (Anni) made by J\u00falia (Bluesky). Anni stares directly at eye-view and her right hand is V-hand pose in front of the face. Main colors are different shades of purple with the biggest focus on the loose and comfy hoodie jacket.', image=BlobRef(mime_type='image/jpeg', size=949678, ref=IpldLink(link='bafkreia62vbw3zmijrsdj6noygf2wzvx34klfy24dfpe6pz4i52hpk2b2q'), py_type='blob'), aspect_ratio=AspectRatio(height=2000, width=1537, py_type='app.bsky.embed.defs#aspectRatio'), py_type='app.bsky.embed.images#image')] py_type='app.bsky.embed.images'""";1;0;0;did:plc:urdcge2rxmre2vmugj3nb7hv;annichu2.bsky.social;Annichu2 🦊💐 VStreamer;0;0;0;2024-10-19T07:45:52.306Z;;False;;False;[];2025-06-20T09:06:06.655741Z
at://did:plc:g4go3sm3xzcgjyj625hdps6v/app.bsky.feed.post/3lrzoib5ayc2m;https://bsky.app/profile/dan-j85.bsky.social/post/3lrzoib5ayc2m;bafyreihkgu5vehgdoofaowyvzo5dumyckodev3en3cdymhv5vfpiqnw7cm;Coastal walks  #Salcombe #Devon #coastpath #bluesky #oceanview #rockface #phonephoto #photography #coastalwalks;2025-06-20T09:01:43.719Z;2025-06-20T09:01:49.135Z;"""images=[Image(alt='', image=BlobRef(mime_type='image/jpeg', size=888214, ref=IpldLink(link='bafkreifnucpllyqcuhy6rurse4uhpzpmkywkxtsge6ltpxjiwxokx7gudm'), py_type='blob'), aspect_ratio=AspectRatio(height=1999, width=1499, py_type='app.bsky.embed.defs#aspectRatio'), py_type='app.bsky.embed.images#image')] py_type='app.bsky.embed.images'""";0;0;0;did:plc:g4go3sm3xzcgjyj625hdps6v;dan-j85.bsky.social;Dan;0;0;0;2025-01-12T20:28:01.744Z;;False;;False;[];2025-06-20T09:06:06.655741Z
at://did:plc:7o4qpcy6xipivpeivurx7foc/app.bsky.feed.post/3lrzohna6hz2g;https://bsky.app/profile/hallucinati.bsky.social/post/3lrzohna6hz2g;bafyreigssczlpb7weyisomzp5vfwykmdcg2vg3lplfcvgdd3bwj2zi3roy;This hour on BlueSky: Immigration's impact on the UK welfare state. Reaction: Concerns about spreading ICE practices. Mood: 😟😬.;2025-06-20T09:01:22.792651+00:00;2025-06-20T09:01:23.139Z;{};0;0;0;did:plc:7o4qpcy6xipivpeivurx7foc;hallucinati.bsky.social;;0;0;0;2024-03-26T01:01:31.601Z;;False;;False;[];2025-06-20T09:06:06.655741Z
